NO,SMILES,Target protein,E3 ligase,probability_NonConventional ,probability_Salt,probability_SolidDispersion,probability_Nanocrystal,probability_LipidBasedFormulation,probability_Cyclodextrin
92,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C(C)C)C=C1)C(C)(C)C)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,ER,VHL,0.540553997,0.932097381,0.978448276,0.012931034,0.547413793,0.329032258
93,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C(C)(C)C)C=C1)C(C)(C)C)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,ER,VHL,0.527077425,0.932177743,0.978448276,0.012931034,0.547413793,0.341935484
94,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.806884969,0.820888748,0.99137931,0.146551724,0.314655172,0.038709677
95,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.805640682,0.827579677,0.99137931,0.189655172,0.318965517,0.04516129
96,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.797059178,0.82669009,1,0.189655172,0.331896552,0.04516129
97,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.802605182,0.832588273,1,0.193965517,0.38362069,0.04516129
98,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.802605182,0.843752336,1,0.193965517,0.400862069,0.090322581
99,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.798294837,0.844869926,1,0.193965517,0.426724138,0.296774194
100,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.781110929,0.846721985,0.995689655,0.198275862,0.452586207,0.296774194
101,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.781414678,0.845363933,0.995689655,0.198275862,0.469827586,0.296774194
102,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.785588595,0.843403479,0.978448276,0.219827586,0.49137931,0.296774194
103,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.772674733,0.840128862,0.978448276,0.224137931,0.49137931,0.296774194
104,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCOCCOCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.751551473,0.83015873,1,0.198275862,0.38362069,0.335483871
105,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCC3=CC=C(C#CC4=CC=C(N5C(=S)N(C6=CC=C(C#N)C(C(F)(F)F)=C6)C(=O)C5(C)C)C=C4)C=N3)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.635185708,0.811834084,0.974137931,0.025862069,0.405172414,0.316129032
106,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCN3CCN(C4=CC=C(C#CC5=CC=C(N6C(=S)N(C7=CC=C(C#N)C(C(F)(F)F)=C7)C(=O)C6(C)C)C=C5)C=N4)CC3)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.601825258,0.89574796,0.995689655,0.051724138,0.36637931,0.329032258
107,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCN3CCN(C4=CC=C(C#CC5=CC=C(N6C(=S)N(C7=CC=C(C#N)C(C(F)(F)F)=C7)C(=O)C6(C)C)C=C5)C=N4)CC3)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.601825258,0.892002725,0.995689655,0.051724138,0.357758621,0.329032258
108,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCN3CCN(C4=CC=C(C#CC5=CC=C(N6C(=S)N(C7=CC=C(C#N)C(C(F)(F)F)=C7)C(=O)C6(C)C)C=C5)C=N4)CC3)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.563463189,0.888531593,0.99137931,0.047413793,0.357758621,0.329032258
109,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCN3CCN(C4=CC=C(C#CC5=CC=C(N6C(=S)N(C7=CC=C(C#N)C(C(F)(F)F)=C7)C(=O)C6(C)C)C=C5)C=N4)CC3)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.635082764,0.894418563,0.995689655,0.038793103,0.353448276,0.309677419
110,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CN3CCN(C4=CC=C(C#CC5=CC=C(N6C(=S)N(C7=CC=C(C#N)C(C(F)(F)F)=C7)C(=O)C6(C)C)C=C5)C=N4)CC3)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.643686281,0.892797962,0.995689655,0.081896552,0.353448276,0.309677419
111,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)N3CCN(C4=CC=C(C#CC5=CC=C(N6C(=S)N(C7=CC=C(C#N)C(C(F)(F)F)=C7)C(=O)C6(C)C)C=C5)C=N4)CC3)C(C)(C)C)C=C2)SC=N1,AR,VHL,0.682255915,0.873804022,0.987068966,0.400862069,0.301724138,0.309677419
112,CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)NCCCCCCCCCNC(=O)C2=CC=C(N3C(=S)N(C4=CC=C(C#N)C(C(F)(F)F)=C4)C(=O)C3(C)C)C=C2F)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)C)=C1,AR,VHL,0.756968877,0.850948145,0.978448276,0.301724138,0.435344828,0.296774194
113,CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)NCCCN2CCN(C3=CC=C(C#CC4=CC=C(N5C(=S)N(C6=CC=C(C#N)C(C(F)(F)F)=C6)C(=O)C5(C)C)C=C4)C=N3)CC2)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)C)=C1,AR,VHL,0.578667005,0.879418314,0.995689655,0.060344828,0.353448276,0.296774194
114,CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)N2CCN(C3=CC=C(C#CC4=CC=C(N5C(=S)N(C6=CC=C(C#N)C(C(F)(F)F)=C6)C(=O)C5(C)C)C=C4)C=N3)CC2)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)C)=C1,AR,VHL,0.636429589,0.882768932,0.995689655,0.047413793,0.327586207,0.316129032
