target,acid_pka,MaxEStateIndex,MinEStateIndex,qed,MolWt,BCUT2D_CHGHI,HallKierAlpha,PEOE_VSA11,PEOE_VSA14,PEOE_VSA8,PEOE_VSA9,SlogP_VSA12,SlogP_VSA7,EState_VSA2,EState_VSA9,VSA_EState1,VSA_EState4,VSA_EState5,fr_Ndealkylation1,fr_aryl_methyl,fr_ester,fr_ether
0,-0.116964014,0.897016324,-0.488316767,-0.092498235,0.239443887,1.433056967,-0.567522447,-0.859634106,-0.419949506,1.31177407,-0.741338587,-0.554138639,-0.407640853,0.717404158,-0.728876007,-0.433036899,0.124338445,-0.407292247,0.649933684,-0.326796751,-0.461083968,-0.217459828
0,-1.774334698,0.487298089,-1.175649525,-0.485741164,-0.215074541,1.294520894,-0.301602807,0.436364373,-0.419949506,-0.709543198,0.352548086,-0.554138639,-0.407640853,-0.639943258,-0.655885401,-0.842541982,-0.209258379,-1.805110813,0.649933684,-0.326796751,-0.461083968,-0.69587145
0,0.781147729,1.339817059,-0.158371601,-1.203862812,2.25972671,0.232253601,-1.794843862,-0.859634106,-0.419949506,1.35341484,-0.325581448,-0.554138639,-0.407640853,1.793594618,-1.07573087,-0.842541982,-0.539038522,-2.018706638,6.777879843,-0.326796751,-0.461083968,-0.69587145
0,1.100213743,0.614765036,1.1284581,-1.12701131,0.440608496,-0.885895654,0.762075753,-0.201264295,-0.419949506,-0.032247528,-0.322178383,3.466006069,-0.407640853,-0.942596004,-0.405431927,0.079281209,-0.018603065,0.844921114,0.649933684,1.633983755,-0.461083968,-0.217459828
0,1.100213743,-0.850001482,-1.574693335,-0.013877182,-0.861797707,-1.913163865,1.24789048,-0.859634106,-0.419949506,-1.335964591,0.482148356,-0.554138639,-0.407640853,-0.535908571,-1.07573087,2.483420297,-0.539038522,0.426844337,-0.371390676,-0.326796751,-0.461083968,-0.69587145
0,1.100213743,-2.78242166,0.889564545,0.018768362,-0.307464031,-1.167924926,0.710937361,-0.859634106,-0.419949506,0.738167658,0.096316718,3.574737833,5.032413378,-0.925042266,2.669020408,-0.31468228,-0.126401241,0.426844337,-0.371390676,-0.326796751,-0.461083968,-0.217459828
0,0.801827933,0.525479537,0.608506873,0.909531984,-0.273658062,-0.713179072,0.020569065,-0.224058067,-0.419949506,0.938218792,-0.755173532,-0.554138639,-0.407640853,-0.636466438,-0.744529083,0.493103464,0.162248931,0.549921721,-0.371390676,1.633983755,-0.461083968,-0.69587145
0,1.100213743,-0.750609934,0.275141959,0.474161031,-0.344410035,-0.14365099,1.838572118,-0.859634106,5.964973764,-1.335964591,-1.106882886,0.179229488,0.656397813,0.35860567,-1.07573087,-0.760233047,-0.454803119,0.159207752,-0.371390676,-0.326796751,-0.461083968,-0.69587145
0,1.008629979,-1.240167886,1.055152566,-0.579541033,-0.018590607,-0.704045767,0.041024422,0.464987368,-0.419949506,1.518284229,0.525524264,-0.554138639,-0.407640853,0.187307633,0.384068328,-0.842541982,-0.223091343,1.018749337,-0.371390676,-0.326796751,-0.461083968,-0.69587145
0,0.597980202,-1.366930806,0.111033846,-0.197468108,-0.385645026,-0.14365099,1.795204105,-0.859634106,4.309146574,-1.335964591,-1.106882886,0.26686264,-0.407640853,-0.897516673,-0.354952616,-0.507097181,-0.690529305,0.426844337,-0.371390676,-0.326796751,-0.461083968,-0.217459828
