target,FpDensityMorgan1,BCUT2D_MWHI,SMR_VSA4,SlogP_VSA10,SlogP_VSA12,SlogP_VSA7,SlogP_VSA8,EState_VSA4,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumSaturatedRings,fr_Ar_OH,fr_Ndealkylation2,fr_bicyclic,fr_ester,fr_ether,fr_lactone
0,1.311930644,-0.484649966,-0.370242371,0.310327774,-0.554138639,-0.407640853,-0.405774738,-0.886436776,-0.63117423,-0.654186561,-0.841178475,-1.15425531,-1.028284325,-0.489009647,-0.348366507,-0.764972804,-0.461083968,0.739363415,-0.322873202
0,1.592629479,0.761739956,-0.410255002,0.310327774,1.510299597,-0.407640853,-0.405774738,-0.886436776,1.16706862,-0.654186561,-0.841178475,-1.15425531,-1.028284325,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.69587145,-0.322873202
0,1.052824032,-0.508491651,0.130089286,0.310327774,-0.554138639,-0.407640853,-0.405774738,-0.305060482,0.274191091,-0.654186561,-0.18025253,-0.625221626,-0.22985179,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.69587145,-0.322873202
0,-0.418901535,0.761889273,-0.882587075,-0.611193724,3.574737833,5.032413378,-0.405774738,-0.382691461,-1.442881073,-0.654186561,-0.841178475,-1.15425531,-1.028284325,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.217459828,-0.322873202
0,-2.445115256,-0.504440263,-0.882587075,3.911790555,-0.554138639,-0.407640853,1.172946589,1.98829297,0.96101996,-0.654186561,0.480673415,-0.096187942,0.568580744,-0.489009647,-0.348366507,-0.401748307,-0.461083968,-0.69587145,-0.322873202
0,0.751926031,-0.314691295,-0.882587075,0.232654534,-0.554138639,-0.407640853,1.163766632,1.885805828,0.020363032,-0.654186561,0.480673415,-0.096187942,-0.22985179,-0.489009647,1.95085244,-0.03852381,-0.461083968,-0.69587145,-0.322873202
0,1.015808803,-0.511548944,-0.882587075,0.481935502,-0.554138639,-0.407640853,-0.405774738,1.048766384,0.38866257,-0.654186561,-0.18025253,-0.625221626,-0.22985179,-0.489009647,1.95085244,-0.764972804,-0.461083968,-0.69587145,-0.322873202
0,1.330438261,0.761740024,-0.882587075,-0.611193724,2.192779591,-0.407640853,-0.405774738,-0.299449615,1.99126326,-0.654186561,-0.18025253,-0.625221626,-0.22985179,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.69587145,-0.322873202
0,0.474353454,-0.475927244,-0.353779321,-0.611193724,-0.554138639,-0.407640853,1.154277274,-0.094119849,-0.131662328,0.065418656,1.802525304,1.490913108,2.165445813,-0.489009647,1.95085244,1.05114968,-0.461083968,-0.217459828,-0.322873202
0,-0.990696056,-0.486398237,-0.353779321,-0.611193724,-0.554138639,-0.407640853,6.013352868,1.125185452,-0.823059901,0.065418656,0.480673415,0.432845741,-1.028284325,-0.489009647,-0.348366507,3.23049666,2.920198462,0.739363415,-0.322873202
0,0.212961215,-0.504737723,-0.398718469,0.481935502,-0.554138639,-0.407640853,-0.405774738,-0.634127099,-0.703219218,0.065418656,-0.841178475,-0.625221626,-1.028284325,0.978019294,-0.348366507,-0.764972804,-0.461083968,-0.69587145,-0.322873202
0,1.225561773,-0.50071499,2.200381154,-0.611193724,-0.554138639,-0.407640853,-0.405774738,-0.052750805,0.867361477,2.224234309,-0.841178475,0.961879425,1.367013279,-0.489009647,-0.348366507,1.05114968,-0.461083968,-0.69587145,-0.322873202
0,0.124358664,-0.486380011,-0.882587075,-0.611193724,-0.554138639,-0.407640853,-0.405774738,-0.343875972,0.159719617,-0.654186561,-0.841178475,-1.15425531,-1.028284325,-0.489009647,-0.348366507,-0.764972804,0.666010175,0.739363415,-0.322873202
0,-1.554780826,0.548151179,0.175028433,-0.611193724,-0.554138639,-0.407640853,-0.405774738,0.868913839,0.051981755,2.224234309,1.802525304,3.078014159,0.568580744,2.445048235,4.250071387,-0.764972804,-0.461083968,0.260951794,-0.322873202
0,0.434954415,0.12979979,-0.882587075,-0.611193724,0.26686264,-0.407640853,-0.405774738,-0.886436776,1.99126326,-0.654186561,-0.18025253,-0.625221626,-0.22985179,-0.489009647,-0.348366507,-0.764972804,-0.461083968,-0.217459828,-0.322873202
0,-0.389536117,-0.483517323,0.130089286,0.481935502,-0.554138639,-0.407640853,1.154277274,-0.140958902,0.19953578,0.065418656,2.463451249,2.019946792,1.367013279,-0.489009647,-0.348366507,1.414374177,2.920198462,1.217775037,-0.322873202
0,0.462060952,-0.501693437,2.200381154,-0.611193724,-0.554138639,-0.407640853,-0.405774738,0.567003959,1.241995404,2.224234309,-0.841178475,0.961879425,1.367013279,-0.489009647,-0.348366507,1.05114968,-0.461083968,-0.69587145,-0.322873202
0,1.112617868,-0.501520727,-0.882587075,-0.611193724,-0.554138639,-0.407640853,-0.405774738,-0.886436776,-0.756052209,-0.654186561,-0.841178475,-1.15425531,-1.028284325,2.445048235,-0.348366507,-0.764972804,-0.461083968,-0.69587145,-0.322873202
0,0.064603459,-0.48482814,-0.882587075,0.310327774,-0.554138639,-0.407640853,2.783715957,0.692290049,-0.006784353,-0.654186561,1.802525304,0.961879425,0.568580744,-0.489009647,4.250071387,1.05114968,0.666010175,0.260951794,2.04486361
